##################################################
# SentiWordNet v3.0.0 (1 June 2010)
# Copyright 2010 ISTI-CNR.
# All right reserved.
#
# SentiWordNet is distributed under the Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0) license.
# http://creativecommons.org/licenses/by-sa/3.0/
#
# For any information about SentiWordNet:
# Web: http://sentiwordnet.isti.cnr.it
#
# The values PosScore and NegScore are the positivity and negativity
# score assigned by SentiWordNet.
# The objectivity score can be calculated as:
# ObjScore = 1 - (PosScore + NegScore)
#
# This is a shorter version of the list found in the SentiWordNet website, modified
# for this assignment.
#
# -------
# PosScore	NegScore	Word/Term
##################################################
0.625	0	innovative
0	0.75	stale
0	0.25	unorthodox
0	0	reformed
0	0.375	dusty
0.25	0.75	torturous
0	0.5	itchy
0	0.75	traumatic
0	0	oblique
0	0	bias
0	0.625	inexpiable
0	0.625	inexcusable
0.25	0.5	unwarranted
0.5	0.125	impartial
0.125	0	navigable
0.375	0.375	passionate
0.375	0.5	rabid
0.5	0.25	patient
0	0.375	impatient
0.125	0	patriotic
0.25	0	peaceful
0.625	0.125	halcyon
0.5	0.25	peaceable
0.625	0	insightful
0	0.75	blind
0.625	0	consummate
0.875	0	idyllic
0.125	0.75	imperfect
0	0.375	corrupted
0	0.5	irreversible
0	0.625	one-sided
0	0	permissible
0	0.25	impermissible
0.25	0.5	deterrent
0	0.75	perplexed
0	0.5	puzzled
0	0	personalized
0	0.625	impersonal
0	0	dissuasive
0	0.25	warning
0	0	receptive
0.25	0.5	impious
0	0	spotty
0.625	0	luxuriant
0	0	embattled
0.375	0.375	fantastic
0.25	0.375	implausible
0.5	0.25	pleasurable
0.5	0.375	grateful
0.125	0.625	unpleasant
0.125	0.625	dreadful
0	0.875	sore
0	0.875	ungrateful
0.625	0	pleased
0.5	0.25	delighted
0.5	0	gratified
0.125	0.75	displeased
0.375	0.375	exasperated
0.5	0.125	pleasing
0.875	0	charming
0.75	0	delightful
0.375	0.625	displeasing
0	0.75	upsetting
0	0	obtuse
0.25	0	polished
0.125	0.625	impolitic
0	0.75	unwise
0.125	0	best-selling
0	0	fashionable
0.125	0.125	unpopular
0	0.375	perverse
0.25	0	realizable
0.375	0	workable
0	0.75	impossible
0	0.75	unworkable
0.125	0.375	impotent
0.375	0	mighty
0.25	0.375	powerless
0.125	0	influential
0.5	0	prestigious
0	0.625	impractical
0.75	0	skillful
0.25	0.5	imprecise
0	0.375	retarded
0	0.75	delayed
0.125	0.5	unprepared
0.125	0.375	truant
0	0	pretentious
0	0	snobby
0	0.125	insular
0	0	privileged
0.375	0	sweetheart
0.125	0.5	disadvantaged
0.625	0	productive
0	0.5	vain
0	0.625	unprofitable
0	0.25	marginal
0	0.5	superficial
0	0	state-of-the-art
0	0	regressive
0	0.625	improper
0	0.125	evasive
0	0	restrictive
0	0	proven
0.25	0	thrifty
0.625	0	prudent
0.625	0	wise
0.25	0.625	imprudent
0	0.5	shortsighted
0.375	0.5	injudicious
0	0	punctual
0	0	prompt
0	0	timely
0.125	0.25	tardy
0	0.375	impure
0	0.375	quack
0	0	questionable
0	0.5	suspicious
0.25	0	quiet
0.125	0.125	noiseless
0	0.5	vociferous
0	0	buzzing
0.375	0	restful
0.75	0	lucid
0.5	0	sane
0.125	0.5	irrational
0	0	fictitious
0	0.125	pretend
0.25	0.125	surreal
0.25	0.25	realistic
0	0.75	unrealistic
0	0.5	untenable
0.125	0.5	crass
0	0.625	crooked
0	0.5	irreparable
0	0.625	irrelevant
0.625	0.125	replaceable
0.875	0	reputable
1	0	respectable
0	0.875	notorious
0.625	0	resolute
0.375	0.125	unwavering
0	0	irresolute
0	0.25	infirm
0.625	0	respectful
0	0.625	scornful
0	0.625	taunting
0	0	trustworthy
0.25	0.5	feckless
0.25	0	responsive
0	0.75	unresponsive
0	0	repressive
0.625	0.125	retractable
0	0	hollow
0.625	0.125	reverent
0.5	0.5	awful
0.5	0	renewed
0.5	0.25	awestruck
0	0	rewarding
0.125	0.125	rhetorical
0	0.125	throbbing
0.75	0	sumptuous
0	0.75	insolvent
0.5	0.25	sturdy
0	0	hardy
0	0	holy
0	0	divine
0.625	0	inspirational
0	0.75	unsafe
0	0	insidious
0	0.5	suicidal
0.5	0	like
0.125	0.5	indistinguishable
0.125	0.25	divergent
0	0.5	insane
0.25	0.25	idiotic
0	0.125	maniacal
0	0.75	paranoid
0	0.375	screwy
0	0.625	sarcastic
0	0.75	mordant
0	0.375	corrosive
0.25	0.75	sardonic
0	0.125	satirical
0.25	0	satisfying
0	0.5	unsatisfactory
0	0.625	unscrupulous
0.5	0.25	secure
0	0.75	shaky
0.125	0.375	insecure
1	0	sensational
0	0.5	insensible
0	0.375	irritable
0	0.625	insensitive
0	0	asunder
0	0.125	isolated
0.25	0.25	solemn
0.125	0.375	sobering
0.625	0.375	playful
0.375	0	elite
0	0	vagrant
0.625	0	sexy
